geoid,2010_population,2010_household_income,2010_home_value,2010_no_nonh_caucasians,2010_no_nonh_blacks/aas,2010_no_amerinds_alskns,2010_no_nonh_asians,2010_no_nonh_hawaii_pacific,2010_no_nonh_others,2010_no_nonh_multi,2010_no_hisp_latin,2010_construction,2010_retail,2010_information,2010_finance,2010_edu_health_social,2010_arts_recreation_accom,2010_public_admin,2010_armed_forces,2010_bachelors,2010_male<25_bachelors,2010_female<25_bachelors,2018_population,2018_household_income,2018_home_value,2018_no_nonh_caucasians,2018_no_nonh_blacks/aas,2018_no_amerinds_alskns,2018_no_nonh_asians,2018_no_nonh_hawaii_pacific,2018_no_nonh_others,2018_no_nonh_multi,2018_no_hisp_latin,2018_construction,2018_retail,2018_information,2018_finance,2018_edu_health_social,2018_arts_recreation_accom,2018_public_admin,2018_armed_forces,2018_bachelors,2018_male<25_bachelors,2018_female<25_bachelors,2018_>25bachelors,2010_>25bachelors,2018_percent_>25bachelors,2010_percent_>25bachelors,change_percent_>25bachelors,percent_change_home_value,gentrify_elig,test_two,gentrified
34017007100,2747.0,34438.0,303700.0,797.0,294.0,31.0,752.0,0.0,118.0,7.0,764.0,40.0,65.0,51.0,204.0,240.0,107.0,23.0,0.0,494.0,84.0,22.0,3313.0,62679.0,486562.5,871.0,233.0,12.0,1139.0,8.0,14.0,134.0,914.0,0.0,167.0,67.0,282.0,447.0,170.0,102.0,0.0,928.0,203.0,23.0,702.0,388.0,0.21189254452158165,0.14124499453949763,0.07064754998208403,60.21155745801778,1,1,1
34025805600,1680.0,25510.0,205400.0,185.0,692.0,12.0,0.0,0.0,22.0,58.0,723.0,55.0,47.0,9.0,48.0,113.0,99.0,24.0,0.0,0.0,0.0,0.0,2452.0,40302.0,274464.5,239.0,1056.0,0.0,38.0,0.0,0.0,104.0,1015.0,122.0,94.0,22.0,73.0,286.0,211.0,6.0,0.0,125.0,5.0,0.0,120.0,0.0,0.048939641109298535,0.0,0.048939641109298535,33.62439143135346,1,1,1
36047008800,3007.0,43321.0,276300.0,901.0,7.0,0.0,219.0,0.0,0.0,88.0,1792.0,133.0,192.0,50.0,69.0,376.0,240.0,60.0,0.0,310.0,35.0,101.0,2636.0,62388.0,423158.0,1033.0,119.0,0.0,546.0,0.0,96.0,52.0,790.0,45.0,54.0,77.0,151.0,440.0,165.0,64.0,0.0,436.0,78.0,59.0,299.0,174.0,0.11342943854324734,0.05786498170934486,0.05556445683390248,53.151646760767285,1,1,1
36047011900,1635.0,55156.0,382600.0,664.0,190.0,12.0,0.0,0.0,14.0,0.0,755.0,3.0,79.0,125.0,35.0,199.0,68.0,25.0,0.0,284.0,38.0,11.0,1377.0,94000.0,892074.5,851.0,61.0,0.0,71.0,0.0,0.0,83.0,311.0,23.0,82.0,71.0,30.0,133.0,117.0,34.0,0.0,418.0,90.0,13.0,315.0,235.0,0.22875816993464052,0.1437308868501529,0.08502728308448762,133.16113434396237,1,1,1
36047042900,6010.0,30813.0,184700.0,390.0,499.0,24.0,242.0,0.0,0.0,0.0,4879.0,273.0,363.0,37.0,49.0,485.0,350.0,49.0,0.0,208.0,91.0,46.0,5326.0,49099.0,604721.5,1297.0,144.0,0.0,292.0,0.0,16.0,121.0,3456.0,284.0,315.0,159.0,117.0,311.0,443.0,62.0,0.0,875.0,452.0,48.0,375.0,71.0,0.07040931280510702,0.011813643926788686,0.05859566887831834,227.40741743367624,1,1,1
36047044700,1880.0,41648.0,281800.0,357.0,67.0,0.0,44.0,0.0,31.0,61.0,1320.0,68.0,188.0,93.0,0.0,214.0,66.0,15.0,0.0,136.0,42.0,11.0,2378.0,44688.0,664233.5,604.0,413.0,0.0,84.0,4.0,11.0,41.0,1221.0,135.0,197.0,85.0,34.0,130.0,212.0,13.0,0.0,485.0,176.0,47.0,262.0,83.0,0.11017661900756939,0.04414893617021277,0.06602768283735663,135.71096522356282,1,1,1
36047048200,5709.0,30164.0,317300.0,3973.0,337.0,0.0,863.0,0.0,8.0,246.0,282.0,319.0,261.0,137.0,257.0,603.0,151.0,17.0,0.0,504.0,15.0,129.0,5314.0,47957.0,424455.5,2316.0,321.0,14.0,2150.0,0.0,60.0,78.0,375.0,117.0,277.0,139.0,112.0,544.0,203.0,46.0,0.0,873.0,151.0,53.0,669.0,360.0,0.1258938652615732,0.0630583289542827,0.0628355363072905,33.77103687362118,1,1,1
36047051400,7620.0,38977.0,266200.0,636.0,4347.0,0.0,471.0,0.0,0.0,23.0,2143.0,197.0,178.0,27.0,360.0,1196.0,254.0,103.0,0.0,445.0,102.0,0.0,7942.0,52791.0,366760.0,1195.0,3148.0,95.0,863.0,0.0,0.0,404.0,2332.0,215.0,251.0,188.0,325.0,1061.0,516.0,127.0,0.0,1288.0,141.0,0.0,1147.0,343.0,0.1444220599345253,0.045013123359580055,0.09940893657494526,37.77610818933133,1,1,1
36061018400,8434.0,27236.0,372400.0,445.0,2559.0,0.0,394.0,0.0,16.0,90.0,4930.0,49.0,161.0,42.0,306.0,760.0,466.0,138.0,22.0,418.0,25.0,118.0,7258.0,23703.0,712327.5,361.0,2756.0,70.0,524.0,0.0,11.0,52.0,3554.0,70.0,296.0,56.0,192.0,523.0,583.0,158.0,0.0,747.0,31.0,9.0,707.0,275.0,0.09740975475337559,0.03260611809343135,0.06480363665994424,91.28020945220193,1,1,1
36061021303,6058.0,40512.0,193800.0,672.0,3240.0,12.0,118.0,0.0,128.0,121.0,1779.0,121.0,265.0,84.0,283.0,653.0,487.0,97.0,0.0,691.0,117.0,78.0,6001.0,46625.0,374026.0,847.0,3169.0,54.0,421.0,0.0,0.0,218.0,1346.0,98.0,407.0,189.0,106.0,921.0,664.0,112.0,0.0,1109.0,269.0,31.0,809.0,496.0,0.13481086485585736,0.08187520633872565,0.05293565851713171,92.99587203302373,1,1,1
36061024500,15698.0,34802.0,254500.0,612.0,1326.0,114.0,161.0,0.0,22.0,141.0,13436.0,330.0,839.0,121.0,369.0,1666.0,1166.0,156.0,0.0,869.0,66.0,205.0,15456.0,44602.0,489417.0,1218.0,1508.0,0.0,348.0,0.0,0.0,77.0,12305.0,388.0,863.0,64.0,130.0,1752.0,2084.0,61.0,0.0,2054.0,318.0,135.0,1601.0,598.0,0.1035843685300207,0.0380940247165244,0.0654903438134963,92.30530451866404,1,1,1
36081007500,4073.0,34386.0,323500.0,2427.0,16.0,0.0,478.0,0.0,14.0,43.0,1095.0,279.0,180.0,96.0,268.0,434.0,46.0,5.0,0.0,698.0,122.0,34.0,4101.0,78706.0,524276.5,2430.0,60.0,0.0,789.0,0.0,0.0,105.0,717.0,128.0,81.0,165.0,162.0,500.0,380.0,101.0,0.0,1401.0,434.0,56.0,911.0,542.0,0.2221409412338454,0.1330714461085195,0.08906949512532589,62.06383307573416,1,1,1
36081024500,4941.0,32100.0,34100.0,1909.0,101.0,0.0,1099.0,0.0,0.0,53.0,1779.0,35.0,162.0,11.0,221.0,190.0,106.0,42.0,19.0,410.0,58.0,39.0,5178.0,58457.0,233636.5,2021.0,34.0,32.0,1110.0,0.0,14.0,189.0,1783.0,197.0,328.0,119.0,127.0,450.0,353.0,68.0,0.0,912.0,78.0,0.0,834.0,313.0,0.16106604866743918,0.06334750050597045,0.09771854816146873,585.1510263929619,1,1,1
