geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B08126_003E,B08126_006E,B08126_008E,B08126_009E,B08126_011E,B08126_012E,B08126_014E,B08126_015E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
06075020500,2012,"Census Tract 205, San Francisco County, California",2405.0,94875.0,1000001.0,1841.0,15.0,14.0,244.0,0.0,12.0,91.0,188.0,53.0,141.0,98.0,201.0,228.0,172.0,27.0,0.0,731.0,66.0,80.0,06,075,020500
06075020600,2012,"Census Tract 206, San Francisco County, California",4605.0,111489.0,1000001.0,3444.0,137.0,39.0,283.0,1.0,15.0,57.0,629.0,12.0,470.0,366.0,384.0,443.0,218.0,115.0,0.0,1584.0,234.0,13.0,06,075,020600
06075020700,2012,"Census Tract 207, San Francisco County, California",5709.0,108235.0,920900.0,3795.0,59.0,18.0,517.0,0.0,0.0,322.0,998.0,65.0,384.0,388.0,246.0,510.0,421.0,102.0,0.0,2243.0,443.0,87.0,06,075,020700
06075020800,2012,"Census Tract 208, San Francisco County, California",6470.0,63785.0,848100.0,1926.0,188.0,103.0,883.0,0.0,34.0,100.0,3276.0,398.0,439.0,164.0,60.0,480.0,931.0,41.0,0.0,1246.0,318.0,137.0,06,075,020800
06075020900,2012,"Census Tract 209, San Francisco County, California",4944.0,56212.0,759500.0,1797.0,0.0,92.0,673.0,0.0,13.0,87.0,2367.0,59.0,454.0,139.0,104.0,463.0,569.0,45.0,0.0,1145.0,328.0,93.0,06,075,020900
06075021000,2012,"Census Tract 210, San Francisco County, California",4142.0,90399.0,857600.0,2650.0,1.0,14.0,682.0,0.0,3.0,63.0,743.0,15.0,292.0,177.0,189.0,608.0,284.0,58.0,0.0,1698.0,292.0,48.0,06,075,021000
06075021100,2012,"Census Tract 211, San Francisco County, California",3992.0,117115.0,1000001.0,2849.0,42.0,0.0,330.0,0.0,0.0,0.0,771.0,0.0,180.0,132.0,180.0,695.0,178.0,141.0,0.0,953.0,153.0,53.0,06,075,021100
06075021200,2012,"Census Tract 212, San Francisco County, California",2837.0,129965.0,1000001.0,2344.0,12.0,11.0,190.0,0.0,0.0,119.0,172.0,63.0,85.0,87.0,163.0,282.0,79.0,127.0,0.0,832.0,107.0,21.0,06,075,021200
06075021300,2012,"Census Tract 213, San Francisco County, California",2510.0,128125.0,1000001.0,2050.0,0.0,9.0,174.0,0.0,11.0,95.0,171.0,49.0,94.0,77.0,120.0,252.0,85.0,78.0,0.0,695.0,126.0,46.0,06,075,021300
06075021400,2012,"Census Tract 214, San Francisco County, California",3519.0,122188.0,1000001.0,2465.0,16.0,15.0,392.0,0.0,0.0,227.0,419.0,27.0,99.0,115.0,179.0,565.0,306.0,69.0,0.0,1125.0,231.0,77.0,06,075,021400
