geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,state,county,tract
06075010100,2013,"Census Tract 101, San Francisco County, California",3741.0,54798.0,759900.0,1659.0,58.0,13.0,1396.0,0.0,0.0,243.0,385.0,06,075,010100
06075010200,2013,"Census Tract 102, San Francisco County, California",4028.0,108557.0,1000001.0,3324.0,19.0,0.0,339.0,0.0,0.0,137.0,209.0,06,075,010200
06075010300,2013,"Census Tract 103, San Francisco County, California",4729.0,91458.0,1000001.0,2519.0,0.0,0.0,1820.0,0.0,0.0,46.0,344.0,06,075,010300
06075010400,2013,"Census Tract 104, San Francisco County, California",5103.0,86847.0,832200.0,2918.0,1.0,0.0,1447.0,0.0,44.0,223.0,470.0,06,075,010400
06075010500,2013,"Census Tract 105, San Francisco County, California",2592.0,115233.0,961200.0,1573.0,40.0,0.0,612.0,19.0,21.0,123.0,204.0,06,075,010500
06075010600,2013,"Census Tract 106, San Francisco County, California",3607.0,29344.0,744600.0,1093.0,78.0,0.0,1989.0,0.0,0.0,106.0,341.0,06,075,010600
06075010700,2013,"Census Tract 107, San Francisco County, California",5535.0,23897.0,1000001.0,863.0,183.0,0.0,4355.0,0.0,0.0,0.0,134.0,06,075,010700
06075010800,2013,"Census Tract 108, San Francisco County, California",4925.0,80614.0,1000001.0,2181.0,15.0,9.0,2379.0,0.0,0.0,77.0,264.0,06,075,010800
06075010900,2013,"Census Tract 109, San Francisco County, California",4571.0,109362.0,912900.0,3078.0,47.0,0.0,1176.0,0.0,44.0,28.0,198.0,06,075,010900
06075011000,2013,"Census Tract 110, San Francisco County, California",5621.0,74414.0,663800.0,2386.0,98.0,0.0,2527.0,0.0,0.0,98.0,512.0,06,075,011000
06075011100,2013,"Census Tract 111, San Francisco County, California",5286.0,61904.0,752900.0,2367.0,95.0,0.0,1831.0,0.0,0.0,120.0,873.0,06,075,011100
06075011200,2013,"Census Tract 112, San Francisco County, California",2932.0,76714.0,1000001.0,1550.0,36.0,1.0,1090.0,34.0,0.0,81.0,140.0,06,075,011200
06075011300,2013,"Census Tract 113, San Francisco County, California",3204.0,23261.0,728400.0,526.0,57.0,20.0,2488.0,5.0,0.0,73.0,35.0,06,075,011300
06075011700,2013,"Census Tract 117, San Francisco County, California",1461.0,33613.0,1000001.0,499.0,161.0,0.0,585.0,0.0,0.0,66.0,150.0,06,075,011700
