geoid,year,NAME,B01001_001E,B19013_001E,B25077_001E,B03002_003E,B03002_004E,B02001_004E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,B06009_005E,B15001_017E,B15001_050E,state,county,tract
34003007002,2018,"Census Tract 70.02, Bergen County, New Jersey",4687.0,159637.0,753100.0,2619.0,103.0,0.0,1868.0,0.0,11.0,15.0,71.0,1201.0,28.0,47.0,34,003,007002
34003009100,2018,"Census Tract 91, Bergen County, New Jersey",4959.0,158906.0,685700.0,2916.0,0.0,0.0,1606.0,0.0,21.0,71.0,345.0,1396.0,33.0,40.0,34,003,009100
34003006300,2018,"Census Tract 63, Bergen County, New Jersey",8817.0,73371.0,458900.0,2893.0,388.0,0.0,613.0,0.0,27.0,404.0,4492.0,1863.0,143.0,96.0,34,003,006300
34003015200,2018,"Census Tract 152, Bergen County, New Jersey",6307.0,78741.0,363500.0,1342.0,2062.0,1.0,346.0,0.0,20.0,145.0,2391.0,950.0,52.0,26.0,34,003,015200
34003015500,2018,"Census Tract 155, Bergen County, New Jersey",6337.0,118355.0,593500.0,3719.0,948.0,0.0,748.0,0.0,0.0,33.0,889.0,1418.0,237.0,29.0,34,003,015500
34003051100,2018,"Census Tract 511, Bergen County, New Jersey",6130.0,86486.0,466900.0,4008.0,213.0,16.0,847.0,0.0,0.0,88.0,958.0,1514.0,61.0,145.0,34,003,051100
34003042100,2018,"Census Tract 421, Bergen County, New Jersey",7404.0,106953.0,540400.0,4684.0,46.0,0.0,1948.0,0.0,0.0,38.0,688.0,1942.0,154.0,35.0,34,003,042100
34003046200,2018,"Census Tract 462, Bergen County, New Jersey",3923.0,101080.0,336900.0,1811.0,63.0,2.0,346.0,4.0,0.0,55.0,1642.0,704.0,53.0,8.0,34,003,046200
34003048200,2018,"Census Tract 482, Bergen County, New Jersey",7646.0,163162.0,510100.0,5143.0,231.0,0.0,1480.0,0.0,68.0,38.0,686.0,1878.0,192.0,132.0,34,003,048200
34003057102,2018,"Census Tract 571.02, Bergen County, New Jersey",3666.0,69157.0,379700.0,2910.0,0.0,0.0,336.0,0.0,10.0,13.0,397.0,574.0,98.0,8.0,34,003,057102
34003058100,2018,"Census Tract 581, Bergen County, New Jersey",3806.0,137643.0,503800.0,3061.0,20.0,8.0,236.0,8.0,0.0,0.0,473.0,977.0,40.0,22.0,34,003,058100
34003017100,2018,"Census Tract 171, Bergen County, New Jersey",7046.0,148452.0,461300.0,5923.0,16.0,0.0,390.0,13.0,33.0,27.0,644.0,1840.0,77.0,95.0,34,003,017100
34003017200,2018,"Census Tract 172, Bergen County, New Jersey",6159.0,87478.0,372500.0,3833.0,172.0,0.0,550.0,0.0,0.0,137.0,1467.0,1393.0,230.0,73.0,34,003,017200
34003018200,2018,"Census Tract 182, Bergen County, New Jersey",6844.0,59238.0,371900.0,2089.0,333.0,14.0,567.0,0.0,47.0,0.0,3808.0,914.0,236.0,52.0,34,003,018200
34003030400,2018,"Census Tract 304, Bergen County, New Jersey",7219.0,65121.0,364300.0,3935.0,448.0,7.0,1188.0,0.0,0.0,101.0,1540.0,969.0,118.0,63.0,34,003,030400
34003038300,2018,"Census Tract 383, Bergen County, New Jersey",5893.0,91576.0,352600.0,3829.0,133.0,0.0,315.0,0.0,0.0,21.0,1595.0,838.0,28.0,37.0,34,003,038300
34003042302,2018,"Census Tract 423.02, Bergen County, New Jersey",5757.0,133839.0,612200.0,3559.0,260.0,18.0,1389.0,0.0,0.0,12.0,519.0,1113.0,113.0,38.0,34,003,042302
34003042500,2018,"Census Tract 425, Bergen County, New Jersey",4559.0,118355.0,619700.0,1945.0,342.0,0.0,1638.0,0.0,0.0,69.0,565.0,996.0,87.0,38.0,34,003,042500
34003043001,2018,"Census Tract 430.01, Bergen County, New Jersey",4184.0,138889.0,634400.0,3147.0,4.0,0.0,176.0,0.0,0.0,47.0,810.0,1252.0,98.0,14.0,34,003,043001
34003044100,2018,"Census Tract 441, Bergen County, New Jersey",6268.0,162135.0,679100.0,5758.0,50.0,0.0,280.0,0.0,0.0,122.0,58.0,1837.0,29.0,46.0,34,003,044100
34003047100,2018,"Census Tract 471, Bergen County, New Jersey",6009.0,154356.0,647800.0,4131.0,93.0,23.0,1182.0,0.0,10.0,139.0,440.0,1414.0,23.0,54.0,34,003,047100
34003054100,2018,"Census Tract 541, Bergen County, New Jersey",8340.0,104583.0,380500.0,1457.0,5032.0,0.0,513.0,0.0,0.0,108.0,1230.0,1605.0,120.0,33.0,34,003,054100
34003010200,2018,"Census Tract 102, Bergen County, New Jersey",4457.0,79693.0,356300.0,2319.0,243.0,22.0,928.0,0.0,0.0,43.0,924.0,831.0,85.0,30.0,34,003,010200
34003010300,2018,"Census Tract 103, Bergen County, New Jersey",7354.0,100172.0,366800.0,4511.0,227.0,0.0,1076.0,0.0,0.0,50.0,1490.0,1357.0,151.0,110.0,34,003,010300
34003027000,2018,"Census Tract 270, Bergen County, New Jersey",4101.0,191645.0,740300.0,3343.0,12.0,0.0,299.0,0.0,0.0,45.0,402.0,1340.0,77.0,36.0,34,003,027000
34003015300,2018,"Census Tract 153, Bergen County, New Jersey",5920.0,70067.0,312600.0,263.0,3049.0,87.0,168.0,0.0,19.0,210.0,2211.0,754.0,62.0,60.0,34,003,015300
34003017400,2018,"Census Tract 174, Bergen County, New Jersey",5473.0,119180.0,419400.0,4047.0,61.0,4.0,694.0,0.0,0.0,70.0,597.0,1318.0,92.0,77.0,34,003,017400
34003026100,2018,"Census Tract 261, Bergen County, New Jersey",4627.0,139779.0,538200.0,3762.0,136.0,21.0,369.0,0.0,0.0,64.0,275.0,1010.0,39.0,52.0,34,003,026100
34003029200,2018,"Census Tract 292, Bergen County, New Jersey",6387.0,72558.0,324200.0,2951.0,66.0,0.0,999.0,0.0,0.0,45.0,2326.0,819.0,90.0,54.0,34,003,029200
34003030200,2018,"Census Tract 302, Bergen County, New Jersey",7169.0,49906.0,389100.0,3386.0,459.0,0.0,386.0,0.0,37.0,84.0,2817.0,826.0,185.0,12.0,34,003,030200
34003057101,2018,"Census Tract 571.01, Bergen County, New Jersey",4458.0,64402.0,369400.0,2982.0,393.0,0.0,464.0,0.0,0.0,12.0,607.0,840.0,68.0,29.0,34,003,057101
34003041100,2018,"Census Tract 411, Bergen County, New Jersey",5870.0,54497.0,435300.0,943.0,133.0,24.0,2930.0,0.0,0.0,70.0,1770.0,1339.0,200.0,65.0,34,003,041100
34003048100,2018,"Census Tract 481, Bergen County, New Jersey",3884.0,83750.0,450200.0,1899.0,12.0,35.0,1037.0,0.0,86.0,135.0,680.0,909.0,51.0,32.0,34,003,048100
34003055200,2018,"Census Tract 552, Bergen County, New Jersey",7895.0,154261.0,645000.0,3850.0,239.0,0.0,2638.0,0.0,83.0,150.0,935.0,1828.0,102.0,64.0,34,003,055200
34003041200,2018,"Census Tract 412, Bergen County, New Jersey",4499.0,72679.0,595800.0,905.0,24.0,47.0,2904.0,0.0,0.0,67.0,552.0,1305.0,154.0,55.0,34,003,041200
34003049002,2018,"Census Tract 490.02, Bergen County, New Jersey",5489.0,124531.0,542900.0,4461.0,55.0,61.0,411.0,0.0,0.0,276.0,225.0,1235.0,108.0,67.0,34,003,049002
34003054400,2018,"Census Tract 544, Bergen County, New Jersey",7750.0,99451.0,380700.0,3667.0,1449.0,3.0,577.0,6.0,48.0,130.0,1873.0,1632.0,307.0,87.0,34,003,054400
34003039300,2018,"Census Tract 393, Bergen County, New Jersey",2867.0,126250.0,471600.0,2493.0,37.0,3.0,152.0,0.0,0.0,85.0,97.0,628.0,27.0,26.0,34,003,039300
34003051400,2018,"Census Tract 514, Bergen County, New Jersey",5184.0,111042.0,448700.0,2898.0,35.0,9.0,1110.0,0.0,18.0,131.0,983.0,1246.0,97.0,72.0,34,003,051400
34003003100,2018,"Census Tract 31, Bergen County, New Jersey",5154.0,91000.0,332800.0,2058.0,393.0,0.0,1415.0,0.0,14.0,16.0,1258.0,1130.0,75.0,25.0,34,003,003100
34003039200,2018,"Census Tract 392, Bergen County, New Jersey",5976.0,127014.0,456200.0,5102.0,63.0,0.0,399.0,0.0,0.0,0.0,412.0,1373.0,23.0,23.0,34,003,039200
34003056100,2018,"Census Tract 561, Bergen County, New Jersey",4966.0,121106.0,427100.0,3983.0,81.0,0.0,238.0,0.0,0.0,83.0,581.0,1087.0,154.0,64.0,34,003,056100
34003057200,2018,"Census Tract 572, Bergen County, New Jersey",3456.0,53214.0,308300.0,2840.0,22.0,8.0,21.0,0.0,0.0,10.0,555.0,436.0,130.0,0.0,34,003,057200
34003058200,2018,"Census Tract 582, Bergen County, New Jersey",5437.0,126406.0,492300.0,4563.0,22.0,0.0,297.0,0.0,0.0,0.0,555.0,1305.0,76.0,74.0,34,003,058200
34003061300,2018,"Census Tract 613, Bergen County, New Jersey",3918.0,164865.0,862700.0,3351.0,69.0,0.0,256.0,0.0,0.0,0.0,242.0,973.0,41.0,20.0,34,003,061300
34003002200,2018,"Census Tract 22, Bergen County, New Jersey",5412.0,109567.0,466600.0,3329.0,74.0,13.0,1339.0,0.0,1.0,57.0,609.0,1534.0,157.0,18.0,34,003,002200
34003003200,2018,"Census Tract 32, Bergen County, New Jersey",5002.0,77026.0,324700.0,1175.0,221.0,25.0,1830.0,0.0,6.0,58.0,1712.0,1075.0,175.0,70.0,34,003,003200
34003024100,2018,"Census Tract 241, Bergen County, New Jersey",5923.0,137132.0,749400.0,4140.0,46.0,0.0,1255.0,0.0,0.0,225.0,257.0,1508.0,140.0,53.0,34,003,024100
34003020100,2018,"Census Tract 201, Bergen County, New Jersey",4060.0,141071.0,756600.0,3117.0,126.0,4.0,209.0,0.0,35.0,81.0,488.0,1004.0,37.0,33.0,34,003,020100
34003032102,2018,"Census Tract 321.02, Bergen County, New Jersey",5909.0,121413.0,766600.0,4759.0,237.0,0.0,365.0,0.0,0.0,88.0,460.0,1396.0,101.0,54.0,34,003,032102
34003021200,2018,"Census Tract 212, Bergen County, New Jersey",5711.0,65417.0,335400.0,3811.0,69.0,0.0,158.0,0.0,0.0,10.0,1663.0,670.0,129.0,11.0,34,003,021200
34003029100,2018,"Census Tract 291, Bergen County, New Jersey",4440.0,52094.0,300000.0,1436.0,133.0,0.0,1761.0,7.0,8.0,204.0,891.0,1023.0,141.0,46.0,34,003,029100
34003030300,2018,"Census Tract 303, Bergen County, New Jersey",4567.0,56052.0,353900.0,1956.0,239.0,17.0,524.0,0.0,0.0,48.0,1783.0,558.0,61.0,45.0,34,003,030300
34003033200,2018,"Census Tract 332, Bergen County, New Jersey",2392.0,95694.0,380000.0,1570.0,73.0,0.0,266.0,0.0,5.0,31.0,447.0,430.0,39.0,0.0,34,003,033200
34003035200,2018,"Census Tract 352, Bergen County, New Jersey",5816.0,167344.0,790400.0,5129.0,185.0,7.0,392.0,0.0,0.0,56.0,47.0,1696.0,29.0,115.0,34,003,035200
34003045200,2018,"Census Tract 452, Bergen County, New Jersey",2923.0,73071.0,414900.0,918.0,10.0,6.0,965.0,0.0,0.0,101.0,923.0,558.0,93.0,0.0,34,003,045200
34003059200,2018,"Census Tract 592, Bergen County, New Jersey",5784.0,104835.0,457800.0,4053.0,10.0,0.0,569.0,0.0,12.0,88.0,1052.0,1101.0,171.0,101.0,34,003,059200
34003061100,2018,"Census Tract 611, Bergen County, New Jersey",4553.0,130446.0,697300.0,4058.0,1.0,0.0,228.0,0.0,0.0,0.0,266.0,1240.0,52.0,39.0,34,003,061100
34003046100,2018,"Census Tract 461, Bergen County, New Jersey",4418.0,64273.0,363900.0,1706.0,165.0,0.0,701.0,0.0,0.0,0.0,1846.0,882.0,73.0,43.0,34,003,046100
34003043002,2018,"Census Tract 430.02, Bergen County, New Jersey",4620.0,106063.0,529000.0,3757.0,96.0,6.0,176.0,0.0,0.0,36.0,549.0,1105.0,84.0,8.0,34,003,043002
34003006100,2018,"Census Tract 61, Bergen County, New Jersey",6690.0,65893.0,432300.0,3882.0,185.0,0.0,824.0,0.0,83.0,104.0,1612.0,1155.0,169.0,67.0,34,003,006100
34003011100,2018,"Census Tract 111, Bergen County, New Jersey",4382.0,70278.0,322600.0,1823.0,257.0,0.0,586.0,0.0,52.0,194.0,1470.0,647.0,60.0,16.0,34,003,011100
34003014000,2018,"Census Tract 140, Bergen County, New Jersey",7611.0,123808.0,486100.0,5271.0,33.0,0.0,775.0,0.0,0.0,93.0,1439.0,1133.0,177.0,77.0,34,003,014000
34003018100,2018,"Census Tract 181, Bergen County, New Jersey",7425.0,55958.0,340600.0,1897.0,90.0,57.0,242.0,0.0,40.0,179.0,4977.0,715.0,159.0,58.0,34,003,018100
34003021300,2018,"Census Tract 213, Bergen County, New Jersey",4443.0,60255.0,320700.0,2941.0,70.0,0.0,121.0,0.0,0.0,177.0,1134.0,441.0,55.0,0.0,34,003,021300
34003022100,2018,"Census Tract 221, Bergen County, New Jersey",3905.0,167857.0,634200.0,3165.0,74.0,0.0,362.0,0.0,0.0,41.0,263.0,1004.0,59.0,30.0,34,003,022100
34003023100,2018,"Census Tract 231, Bergen County, New Jersey",3234.0,58693.0,188900.0,720.0,679.0,8.0,313.0,0.0,7.0,77.0,1436.0,647.0,62.0,68.0,34,003,023100
34003025100,2018,"Census Tract 251, Bergen County, New Jersey",6429.0,76438.0,398600.0,3664.0,312.0,34.0,1140.0,0.0,0.0,112.0,1201.0,1069.0,161.0,10.0,34,003,025100
34003028002,2018,"Census Tract 280.02, Bergen County, New Jersey",3799.0,108594.0,582900.0,1623.0,162.0,0.0,1289.0,0.0,0.0,152.0,573.0,843.0,41.0,39.0,34,003,028002
34003031100,2018,"Census Tract 311, Bergen County, New Jersey",6221.0,81799.0,363000.0,3149.0,248.0,0.0,807.0,0.0,90.0,118.0,1809.0,1106.0,86.0,54.0,34,003,031100
34003033100,2018,"Census Tract 331, Bergen County, New Jersey",3796.0,95977.0,388600.0,2219.0,92.0,109.0,339.0,0.0,0.0,120.0,1005.0,690.0,67.0,83.0,34,003,033100
34003036200,2018,"Census Tract 362, Bergen County, New Jersey",2739.0,65688.0,356700.0,1519.0,14.0,0.0,197.0,0.0,6.0,154.0,849.0,309.0,20.0,18.0,34,003,036200
34003037201,2018,"Census Tract 372.01, Bergen County, New Jersey",3847.0,133438.0,408000.0,2266.0,0.0,0.0,964.0,0.0,0.0,26.0,591.0,886.0,95.0,40.0,34,003,037201
34003042301,2018,"Census Tract 423.01, Bergen County, New Jersey",4425.0,108199.0,573400.0,2768.0,21.0,6.0,1167.0,0.0,17.0,35.0,411.0,1094.0,93.0,79.0,34,003,042301
34003042400,2018,"Census Tract 424, Bergen County, New Jersey",4468.0,120909.0,619700.0,2804.0,63.0,4.0,1112.0,0.0,55.0,55.0,375.0,909.0,95.0,6.0,34,003,042400
34003052200,2018,"Census Tract 522, Bergen County, New Jersey",6191.0,91458.0,350800.0,3945.0,445.0,16.0,750.0,0.0,46.0,120.0,885.0,1191.0,364.0,58.0,34,003,052200
34003004001,2018,"Census Tract 40.01, Bergen County, New Jersey",3359.0,83472.0,333300.0,1179.0,171.0,0.0,342.0,0.0,36.0,48.0,1583.0,480.0,106.0,46.0,34,003,004001
34003004002,2018,"Census Tract 40.02, Bergen County, New Jersey",5003.0,83550.0,323000.0,1984.0,689.0,0.0,322.0,0.0,0.0,71.0,1937.0,629.0,81.0,138.0,34,003,004002
34003006201,2018,"Census Tract 62.01, Bergen County, New Jersey",4227.0,44159.0,413000.0,1805.0,85.0,0.0,1010.0,0.0,170.0,72.0,1085.0,782.0,154.0,18.0,34,003,006201
34003006202,2018,"Census Tract 62.02, Bergen County, New Jersey",5149.0,95250.0,449800.0,2741.0,64.0,13.0,1544.0,0.0,15.0,44.0,728.0,1639.0,106.0,13.0,34,003,006202
34003012001,2018,"Census Tract 120.01, Bergen County, New Jersey",6174.0,71817.0,407600.0,2911.0,511.0,0.0,680.0,16.0,53.0,178.0,1825.0,1633.0,326.0,14.0,34,003,012001
34003012002,2018,"Census Tract 120.02, Bergen County, New Jersey",3292.0,85378.0,370600.0,2006.0,0.0,51.0,831.0,0.0,0.0,63.0,392.0,700.0,102.0,18.0,34,003,012002
34003013001,2018,"Census Tract 130.01, Bergen County, New Jersey",6669.0,113008.0,629500.0,2494.0,256.0,0.0,2873.0,38.0,86.0,212.0,710.0,2470.0,312.0,56.0,34,003,013001
34003013002,2018,"Census Tract 130.02, Bergen County, New Jersey",5515.0,96568.0,465000.0,2869.0,240.0,11.0,1385.0,0.0,0.0,45.0,976.0,1635.0,237.0,77.0,34,003,013002
34003019103,2018,"Census Tract 191.03, Bergen County, New Jersey",4232.0,69786.0,111400.0,1380.0,229.0,0.0,1917.0,0.0,7.0,86.0,613.0,1300.0,227.0,12.0,34,003,019103
34003019104,2018,"Census Tract 191.04, Bergen County, New Jersey",3959.0,77258.0,291300.0,1380.0,6.0,29.0,2015.0,0.0,0.0,46.0,483.0,1077.0,76.0,12.0,34,003,019104
34003019203,2018,"Census Tract 192.03, Bergen County, New Jersey",2999.0,58977.0,211500.0,1539.0,12.0,0.0,985.0,0.0,0.0,39.0,424.0,756.0,89.0,57.0,34,003,019203
34003019204,2018,"Census Tract 192.04, Bergen County, New Jersey",3560.0,63533.0,249100.0,1342.0,106.0,14.0,1659.0,7.0,0.0,22.0,410.0,1218.0,67.0,8.0,34,003,019204
34003019303,2018,"Census Tract 193.03, Bergen County, New Jersey",5574.0,71008.0,398800.0,1661.0,99.0,0.0,2850.0,0.0,38.0,58.0,868.0,1582.0,45.0,41.0,34,003,019303
34003019304,2018,"Census Tract 193.04, Bergen County, New Jersey",2683.0,100208.0,633600.0,987.0,22.0,14.0,959.0,0.0,4.0,22.0,689.0,487.0,36.0,24.0,34,003,019304
34003019305,2018,"Census Tract 193.05, Bergen County, New Jersey",6516.0,103611.0,374800.0,3439.0,38.0,0.0,2202.0,6.0,0.0,51.0,780.0,1833.0,105.0,59.0,34,003,019305
34003019306,2018,"Census Tract 193.06, Bergen County, New Jersey",2017.0,125603.0,787000.0,1037.0,62.0,9.0,702.0,0.0,0.0,0.0,207.0,584.0,55.0,0.0,34,003,019306
34003023301,2018,"Census Tract 233.01, Bergen County, New Jersey",2967.0,115526.0,359700.0,1104.0,508.0,7.0,594.0,0.0,25.0,54.0,682.0,497.0,17.0,0.0,34,003,023301
34003023302,2018,"Census Tract 233.02, Bergen County, New Jersey",5430.0,73921.0,216000.0,2518.0,1223.0,0.0,638.0,0.0,0.0,160.0,891.0,1259.0,144.0,126.0,34,003,023302
34003023501,2018,"Census Tract 235.01, Bergen County, New Jersey",3744.0,63333.0,247300.0,574.0,1585.0,8.0,124.0,0.0,43.0,25.0,1393.0,587.0,91.0,0.0,34,003,023501
34003023502,2018,"Census Tract 235.02, Bergen County, New Jersey",4759.0,55069.0,214300.0,966.0,778.0,0.0,350.0,0.0,23.0,11.0,2631.0,841.0,144.0,94.0,34,003,023502
34003023601,2018,"Census Tract 236.01, Bergen County, New Jersey",2741.0,65579.0,289700.0,805.0,597.0,1.0,237.0,0.0,12.0,0.0,1089.0,440.0,63.0,57.0,34,003,023601
34003023602,2018,"Census Tract 236.02, Bergen County, New Jersey",5064.0,48818.0,297200.0,780.0,724.0,8.0,172.0,0.0,23.0,14.0,3351.0,415.0,22.0,7.0,34,003,023602
34003032103,2018,"Census Tract 321.03, Bergen County, New Jersey",5149.0,93477.0,376300.0,3482.0,66.0,0.0,1277.0,0.0,0.0,0.0,324.0,1378.0,191.0,0.0,34,003,032103
34003032104,2018,"Census Tract 321.04, Bergen County, New Jersey",4552.0,92105.0,391700.0,2678.0,281.0,35.0,510.0,15.0,11.0,73.0,952.0,392.0,66.0,12.0,34,003,032104
