ZIP,TRACT,,,,
00501,36103158607,,,,
00544,36103158607,,,,
00601,72001956300,,,,
00601,72001956600,,,,
00601,72001956700,,,,
00602,72003430200,,,,
00602,72003430300,,,,
00603,72005400300,,,,
00603,72005400400,,,,
00603,72005400500,,,,
00603,72005400600,,,,
00603,72005400700,,,,
00603,72005400800,,,,
00603,72005400900,,,,
00603,72005401000,,,,
00603,72005401100,,,,
00603,72005401301,,,,
00606,72093960200,,,,
00610,72011810200,,,,
00610,72011810300,,,,
00610,72011810400,,,,
00610,72011810500,,,,
00611,72141957100,,,,
00612,72013300100,,,,
00612,72013300300,,,,
00612,72013300400,,,,
00612,72013300500,,,,
00612,72013300700,,,,
00612,72013300800,,,,
00612,72013301000,,,,
00612,72013301100,,,,
00612,72013301200,,,,
00612,72013301300,,,,
00612,72013301400,,,,
00612,72013301500,,,,
00612,72013301700,,,,
00612,72065310400,,,,
00616,72013300100,,,,
00617,72017590200,,,,
00617,72017590400,,,,
00622,72023830600,,,,
00623,72023830100,,,,
00623,72023830300,,,,
00623,72023830400,,,,
00623,72023830501,,,,
00623,72023830600,,,,
00624,72111730300,,,,
00624,72111730400,,,,
00624,72111730800,,,,
00627,72027320100,,,,
00627,72027320200,,,,
00627,72027320400,,,,
00631,72081958300,,,,
00637,72121960300,,,,
00637,72121960400,,,,
00637,72121960500,,,,
00637,72121960600,,,,
00637,72121960700,,,,
00637,72121960800,,,,
00638,72039955700,,,,
00641,72141957300,,,,
00641,72141957400,,,,
00641,72141957500,,,,
00646,72051540100,,,,
00646,72051540200,,,,
00646,72051540300,,,,
00646,72051540400,,,,
00646,72051540500,,,,
00647,72055961400,,,,
00647,72055961500,,,,
00650,72054580100,,,,
00650,72054580200,,,,
00652,72013300100,,,,
00653,72055961100,,,,
00653,72055961200,,,,
00653,72055961300,,,,
00656,72059740200,,,,
00656,72059740300,,,,
00659,72065310100,,,,
00659,72065310200,,,,
00660,72067820100,,,,
00660,72067820300,,,,
00660,72067820400,,,,
00660,72067820500,,,,
00662,72071410100,,,,
00662,72071410200,,,,
00662,72071410300,,,,
00662,72071410401,,,,
00662,72071410402,,,,
00662,72071410500,,,,
00662,72071410701,,,,
00662,72071410702,,,,
00664,72073956100,,,,
00664,72073956200,,,,
00667,72079850200,,,,
00667,72079850300,,,,
00667,72079850400,,,,
00669,72081958000,,,,
00669,72081958100,,,,
00670,72083959700,,,,
00674,72091570200,,,,
00674,72091570300,,,,
00674,72091570400,,,,
00674,72091570500,,,,
00674,72091570600,,,,
00674,72091570800,,,,
00676,72099420200,,,,
00677,72117959500,,,,
00677,72117959600,,,,
00678,72115330100,,,,
00678,72115330200,,,,
00678,72115330300,,,,
00680,72097080100,,,,
00680,72097080500,,,,
00680,72097080600,,,,
00680,72097080800,,,,
00680,72097080900,,,,
00680,72097081000,,,,
00680,72097081100,,,,
00680,72097081200,,,,
00680,72097081300,,,,
00680,72097081700,,,,
00680,72097081800,,,,
00680,72097082001,,,,
00680,72097082012,,,,
00680,72097082022,,,,
00680,72097082103,,,,
00680,72097082104,,,,
00682,72097080200,,,,
00682,72097080300,,,,
00682,72097080400,,,,
00682,72097080500,,,,
00682,72097080600,,,,
00682,72097081200,,,,
00682,72097081501,,,,
00682,72097081512,,,,
00682,72097081522,,,,
00682,72097081700,,,,
00682,72097082001,,,,
00682,72097082102,,,,
00683,72125840400,,,,
00683,72125840500,,,,
00683,72125840700,,,,
00685,72131958900,,,,
00685,72131959000,,,,
00685,72131989200,,,,
00687,72101955300,,,,
00687,72101955500,,,,
00688,72013302300,,,,
00690,72005400100,,,,
00692,72143550100,,,,
00692,72143550300,,,,
00692,72143550400,,,,
00692,72143550500,,,,
00692,72143550601,,,,
00692,72143550602,,,,
00693,72145560100,,,,
00693,72145560201,,,,
00693,72145560202,,,,
00693,72145560300,,,,
00693,72145560400,,,,
00693,72145560500,,,,
00693,72145560701,,,,
00693,72145560702,,,,
00693,72145560801,,,,
00693,72145560802,,,,
00698,72153750300,,,,
00698,72153750400,,,,
00698,72153750501,,,,
00698,72153750502,,,,
00698,72153750503,,,,
00698,72153750601,,,,
00698,72153750602,,,,
00703,72007230300,,,,
00704,72123952900,,,,
00704,72123953200,,,,
00705,72009250300,,,,
00705,72009250400,,,,
00705,72009250500,,,,
00705,72009250600,,,,
00707,72095951600,,,,
00714,72015280100,,,,
00714,72015280201,,,,
00714,72015280202,,,,
00715,72113072300,,,,
00715,72113072400,,,,
00716,72113070502,,,,
00716,72113070503,,,,
00716,72113071601,,,,
00716,72113071602,,,,
00716,72113072101,,,,
00716,72113072102,,,,
00716,72113072201,,,,
00716,72113072202,,,,
00716,72113072400,,,,
00717,72113070503,,,,
00717,72113071200,,,,
00717,72113071500,,,,
00717,72113071700,,,,
00717,72113071800,,,,
00717,72113071900,,,,
00717,72113072000,,,,
00718,72103170100,,,,
00718,72103170400,,,,
00719,72105520400,,,,
00720,72101955200,,,,
00720,72107954902,,,,
00720,72107955100,,,,
00721,72119130500,,,,
00723,72109290200,,,,
00723,72109290300,,,,
00725,72025200100,,,,
00725,72025200200,,,,
00725,72025200302,,,,
00725,72025200303,,,,
00725,72025200304,,,,
00725,72025200400,,,,
00725,72025200500,,,,
00725,72025200600,,,,
00725,72025200700,,,,
00725,72025200800,,,,
00725,72025200900,,,,
00725,72025201000,,,,
00725,72025201200,,,,
00725,72025201300,,,,
00725,72025201500,,,,
00725,72025201600,,,,
00725,72025201700,,,,
00725,72025201800,,,,
00725,72025201900,,,,
00725,72025202000,,,,
00725,72025202401,,,,
00725,72025202402,,,,
00725,72025202500,,,,
00725,72025202601,,,,
00725,72025202602,,,,
00725,72025202701,,,,
00725,72025202702,,,,
00727,72025200302,,,,
00727,72025200303,,,,
00727,72025200304,,,,
00727,72025200500,,,,
00727,72025200600,,,,
00727,72025200700,,,,
00727,72025201300,,,,
00727,72025201400,,,,
00727,72025201500,,,,
00727,72025202000,,,,
00727,72025202100,,,,
00727,72025202200,,,,
00727,72025202300,,,,
00727,72025202402,,,,
00727,72025202500,,,,
00728,72113070100,,,,
00728,72113071300,,,,
00728,72113071401,,,,
00728,72113071402,,,,
00728,72113072900,,,,
00728,72113073002,,,,
00728,72113073004,,,,
00728,72113073005,,,,
00728,72113073006,,,,
00728,72113073007,,,,
00729,72029100101,,,,
00729,72029100102,,,,
00729,72029100200,,,,
00729,72029100400,,,,
00729,72029100501,,,,
00729,72029100502,,,,
00729,72029100600,,,,
00729,72087110304,,,,
00730,72113070100,,,,
00730,72113070201,,,,
00730,72113070202,,,,
00730,72113070300,,,,
00730,72113070502,,,,
00730,72113070513,,,,
00730,72113070514,,,,
00730,72113070522,,,,
00730,72113070800,,,,
00730,72113070900,,,,
00730,72113071000,,,,
00730,72113071200,,,,
00730,72113071602,,,,
00730,72113072701,,,,
00730,72113072703,,,,
00730,72113072900,,,,
00731,72113072704,,,,
00735,72037160200,,,,
00735,72037160300,,,,
00736,72035260201,,,,
00736,72035260300,,,,
00736,72035260500,,,,
00736,72035260600,,,,
00736,72035260700,,,,
00736,72035260800,,,,
00736,72035260900,,,,
00738,72037160200,,,,
00738,72053150101,,,,
00738,72053150102,,,,
00738,72053150200,,,,
00738,72053150301,,,,
00738,72053150302,,,,
00738,72053150400,,,,
00738,72053150500,,,,
00739,72041240300,,,,
00739,72041240401,,,,
00739,72041240500,,,,
00740,72053150400,,,,
00741,72069180100,,,,
00742,72037160100,,,,
00744,72103170200,,,,
00745,72119130100,,,,
00745,72119130200,,,,
00745,72119130300,,,,
00745,72119130400,,,,
00745,72119130500,,,,
00745,72119130600,,,,
00751,72123952800,,,,
00751,72123953000,,,,
00751,72123953100,,,,
00754,72129220100,,,,
00754,72129220200,,,,
00754,72129220300,,,,
00754,72129220401,,,,
00754,72129220402,,,,
00754,72129220500,,,,
00757,72133953300,,,,
00757,72133953700,,,,
00757,72133953800,,,,
00765,72147950200,,,,
00765,72147950400,,,,
00766,72149720300,,,,
00766,72149720400,,,,
00766,72149720501,,,,
00767,72151950600,,,,
00767,72151951000,,,,
00767,72151951100,,,,
00767,72151951200,,,,
00769,72043954100,,,,
00769,72043954200,,,,
00769,72043954300,,,,
00769,72043954400,,,,
00769,72043954700,,,,
00771,72085190101,,,,
00771,72085190102,,,,
00771,72085190201,,,,
00771,72085190202,,,,
00772,72087110400,,,,
00772,72087110500,,,,
00773,72089140201,,,,
00773,72089140202,,,,
00773,72089140300,,,,
00775,72049950500,,,,
00777,72077500200,,,,
00777,72077500301,,,,
00777,72077500302,,,,
00778,72063210300,,,,
